Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Industry,Business Description,Company Website,Entrepreneur Names,Original Ask Amount,Original Offered Equity,Valuation Requested,Got Deal,Total Deal Amount,Total Deal Equity,Deal Valuation,Loan,Deal Has Conditions,Number of Sharks in Deal,Investment Amount Per Shark,Equity Per Shark,Mentoring,Invested Shark Names
1,Gourmetzinho,1,1,10-Oct-2016,26-Jan-2017,10-Oct-2016,Food and Beverage,"Healthy, frozen baby food/meals for children",,,500000,20,2500000,0,,,,,,,,,,
1,RevoFoot,1,2,10-Oct-2016,26-Jan-2017,10-Oct-2016,Health/Wellness,"Prosthetic feet, aiming for a lighter, more durable, and accessible product using innovative materials",,,400000,20,2000000,0,,,,,,,,,,
1,Velo,1,3,10-Oct-2016,26-Jan-2017,10-Oct-2016,Children/Education,"Bicycle parts, electric bikes and scooters",,,400000,20,2000000,0,,,,,,,,,,
1,BostaEmLata,1,4,10-Oct-2016,26-Jan-2017,10-Oct-2016,Business Services,"Organic fertilizer, product for urban gardeners",,,150000,30,500000,0,,,,,,,,,,
1,M'AnaManutenção,2,5,10-Oct-2016,26-Jan-2017,17-Oct-2016,Technology/Software,platform/app for hiring female-led maintenance and repair services,,,100000,10,1000000,0,,,,,,,,,,
1,PensysTecnologia,2,6,10-Oct-2016,26-Jan-2017,17-Oct-2016,Business Services,business management or industrial automation space,,,300000,5,6000000,0,,,,,,,,,,
1,EasyCarros,2,7,10-Oct-2016,26-Jan-2017,17-Oct-2016,Technology/Software,app/platform offering on-demand car care services,,,800000,4,20000000,1,300000,10.0,3000000,,,2,150000,5,"João Appolinário, Camila Farani","João Appolinário, Camila Farani"
1,PeterPaivaSaboaria,2,8,10-Oct-2016,26-Jan-2017,17-Oct-2016,Business Services,production and sale of artisanal soaps and soap-making products/materials,,,500000,20,2500000,0,,,,,,,,,,
1,Futuriste,3,9,10-Oct-2016,26-Jan-2017,24-Oct-2016,Technology/Software,"drone technology, offering courses and services",,,185000,15,1233333,0,,,,,,,,,,
1,Enlite,3,10,10-Oct-2016,26-Jan-2017,24-Oct-2016,Beauty/Fashion,hairdryer to automatically turn it off,,,295000,5,5900000,0,,,,,,,,,,
1,+55Canga,3,11,10-Oct-2016,26-Jan-2017,24-Oct-2016,Fitness/Sports/Outdoors,"stylish, high-quality, and exclusive beach sarongs canga",,,500000,10,5000000,1,100000,25.0,400000,,,1,100000,25,,João Appolinário
1,SuperCooler,3,12,10-Oct-2016,26-Jan-2017,24-Oct-2016,Food and Beverage,portable beverage cooler/chiller,,,500000,15,3333333,1,200000,30.0,666667,,,2,100000,15,,"João Appolinário, Luiz Seabra"
1,Egosss,4,13,10-Oct-2016,26-Jan-2017,31-Oct-2016,Beauty/Fashion,"menswear brand motorcycle helmet with integrated Bluetooth, speakers, microphone",,,250000,15,1666667,1,200000,25.0,800000,,,1,200000,25,,Rodrigo Loures
1,ManicuraExpress,4,14,10-Oct-2016,26-Jan-2017,31-Oct-2016,Beauty/Fashion,network for express manicure services,,,50000,7,714286,1,150000,40.0,375000,,,1,150000,40,,Cristiana Arcangeli
1,RockCandy,4,15,10-Oct-2016,26-Jan-2017,31-Oct-2016,Food and Beverage,"artisan lollipops with creative, complex designs",,,900000,15,6000000,0,,,,,,,,,,
1,Dolce&Cane,4,16,10-Oct-2016,26-Jan-2017,31-Oct-2016,Pet Products,"products for pets, likely treats or fashion accessories",,,100000,30,333333,1,150000,30.0,500000,,,1,150000,30,,Cristiana Arcangeli
1,NextAgro,4,17,10-Oct-2016,26-Jan-2017,31-Oct-2016,Business Services,"control, monitoring, and intelligence for the agribusiness sector.",,,300000,5,6000000,1,200000,25.0,800000,,,1,200000,25,,João Appolinário
1,Embarcar,5,18,10-Oct-2016,26-Jan-2017,7-Nov-2016,Business Services,"logistics or travel/transportation, possibly an automated delivery box/locker system for condos",,,90000,10,900000,0,,,,,,,,,,
1,RentABag,5,19,10-Oct-2016,26-Jan-2017,7-Nov-2016,Business Services,franchise for renting high-quality luggage/suitcases,,,350000,7,5000000,1,150000,35.0,428571,,,1,150000,35,,Camila Farani
1,BendittaPipoca,5,20,10-Oct-2016,26-Jan-2017,7-Nov-2016,Food and Beverage,Gourmet popcorn brand,,,400000,10,4000000,1,100000,40.0,250000,,,1,100000,40,,Luiz Seabra
1,BelezaDeFarmácia,5,21,10-Oct-2016,26-Jan-2017,7-Nov-2016,Beauty/Fashion,beauty products or services within pharmacies,,,150000,15,1000000,0,,,,,,,,,,
1,VelaBikes,6,22,10-Oct-2016,26-Jan-2017,14-Nov-2016,Automotive/Vehicles,"high-quality, designer electric bicycles",,,20000000,5,400000000,1,300000,25.0,1200000,,,2,150000,12.5,,"João Appolinário, Rodrigo Loures"
1,YouTape,6,23,10-Oct-2016,26-Jan-2017,14-Nov-2016,Lifestyle/Home,adhesive tape designed for athletes to securely fasten accessories,,,50000,20,250000,1,150000,40.0,375000,,,1,150000,40,,Cristiana Arcangeli
1,LilyCone,6,24,10-Oct-2016,26-Jan-2017,14-Nov-2016,Food and Beverage,"edible, flavored ice cream cone designed to enhance the dessert experience",,,400000,30,1333333,1,150000,40.0,375000,,,1,150000,40,,Cristiana Arcangeli
1,QGFoodTruck,6,25,10-Oct-2016,26-Jan-2017,14-Nov-2016,Business Services,virtual food truck park or hub where multiple food trucks could operate,,,180000,40,450000,1,300000,33.3,900901,,,5,60000,6.66,,"João Appolinário, Luiz Seabra, Cristiana Arcangeli, Rodrigo Loures,Camila Farani"
1,Portex,7,26,10-Oct-2016,26-Jan-2017,21-Nov-2016,Beauty/Fashion,"functional and stylish accessories for motorcycles,",,,250000,8,3125000,0,,,,,,,,,,
1,KitLivre,7,27,10-Oct-2016,26-Jan-2017,21-Nov-2016,Automotive/Vehicles,kit to convert regular bicycles into electric bikes,,,400000,5,8000000,0,,,,,,,,,,
1,TressCabelos,7,28,10-Oct-2016,26-Jan-2017,21-Nov-2016,Beauty/Fashion,hair extension and wig brand,,,1000000,5,20000000,0,,,,,,,,,,
1,ListIt,7,29,10-Oct-2016,26-Jan-2017,21-Nov-2016,Children/Education,School supplies platform,,,200000,30,666667,0,,,,,,,,,Cristiana Arcangeli,
